wl,fwhm
2194.63,5.77
2199.64,5.77
2204.64,5.77
2209.65,5.77
2214.66,5.77
2219.67,5.77
2224.67,5.77
2229.68,5.77
2234.69,5.77
2239.70,5.77
2244.70,5.77
2249.71,5.77
2254.72,5.77
2259.73,5.77
2264.73,5.77
2269.74,5.77
2274.75,5.77
2279.76,5.77
2284.76,5.77
2289.77,5.77
2294.78,5.77
2299.79,5.77
2304.79,5.77
2309.80,5.77
2314.81,5.77
2319.81,5.77
2324.82,5.77
2329.83,5.77
2334.84,5.77
2339.84,5.77
2344.85,5.77
2349.86,5.77
2354.87,5.77
2359.88,5.77
2364.88,5.77
2369.89,5.77
2374.90,5.77
2379.91,5.77
2384.91,5.77
2389.92,5.77
2394.93,5.76
2399.94,5.76
2404.94,5.76
2409.95,5.76
2414.96,5.76
2419.97,5.76
2424.97,5.76
2429.98,5.76
2434.99,5.76
2440.00,5.76
2445.00,5.76
2450.01,5.75
2455.02,5.75
2460.03,5.75
2465.03,5.75
2470.04,5.75
2475.05,5.75
2480.05,5.75
2485.06,5.75
